date,Open,High,Low,Close,value,classification,BTC_Return,Pos_Contrarian_LongOnly,Pos_Contrarian_LS,Pos_Momentum,Pos_Contrarian_LongOnly_Shift,Pos_Contrarian_LS_Shift,Pos_Momentum_Shift,Ret_BuyHold,Ret_Contrarian_LongOnly,Ret_Contrarian_LS,Ret_Momentum,Trade_Contrarian_LongOnly,Trade_Contrarian_LS,Trade_Momentum,Ret_Contrarian_LongOnly_Net,Ret_Contrarian_LS_Net,Ret_Momentum_Net,Cum_BuyHold,Cum_Contrarian_LongOnly,Cum_Contrarian_LS,Cum_Momentum
2023-12-04,39978.62890625,42371.75,39978.62890625,41980.09765625,74,Greed,0.0,0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2023-12-05,41986.265625,44408.6640625,41421.1484375,44080.6484375,75,Extreme Greed,0.05003682455553493,0,-1,1,0.0,-1.0,1.0,0.05003682455553493,0.0,-0.05003682455553493,0.05003682455553493,0.0,0.0,0.0,0.0,-0.05003682455553493,0.05003682455553493,1.050036824555535,1.0,0.9499631754444651,1.050036824555535
2023-12-06,44080.0234375,44265.76953125,43478.08203125,43746.4453125,72,Greed,-0.007581629055975703,0,-1,1,0.0,-1.0,1.0,-0.007581629055975703,-0.0,0.007581629055975703,-0.007581629055975703,0.0,0.0,0.0,-0.0,0.007581629055975703,-0.007581629055975703,1.0420758348566401,1.0,0.9571654438575219,1.0420758348566401
2023-12-07,43769.1328125,44042.58984375,42880.6484375,43292.6640625,72,Greed,-0.010372985662227885,0,-1,1,0.0,-1.0,1.0,-0.010372985662227885,-0.0,0.010372985662227885,-0.010372985662227885,0.0,0.0,0.0,-0.0,0.010372985662227885,-0.010372985662227885,1.031266397162718,1.0,0.9670941072830359,1.031266397162718
2023-12-08,43293.13671875,44705.515625,43125.296875,44166.6015625,72,Greed,0.02018673414826888,0,-1,1,0.0,-1.0,1.0,0.02018673414826888,0.0,-0.02018673414826888,0.02018673414826888,0.0,0.0,0.0,0.0,-0.02018673414826888,0.02018673414826888,1.052084297758285,1.0,0.9475716356429559,1.052084297758285
2023-12-09,44180.01953125,44361.2578125,43627.59765625,43725.984375,73,Greed,-0.009976252913108663,0,-1,1,0.0,-1.0,1.0,-0.009976252913108663,-0.0,0.009976252913108663,-0.009976252913108663,0.0,0.0,0.0,-0.0,0.009976252913108663,-0.009976252913108663,1.041588438717938,1.0,0.9570248499334181,1.041588438717938
2023-12-10,43728.3828125,44034.625,43593.28515625,43779.69921875,74,Greed,0.0012284421841561866,0,-1,1,0.0,-1.0,1.0,0.0012284421841561866,0.0,-0.0012284421841561866,0.0012284421841561866,0.0,0.0,0.0,0.0,-0.0012284421841561866,0.0012284421841561866,1.0428679698945884,1.0,0.9558492002364741,1.0428679698945884
2023-12-11,43792.01953125,43808.375,40234.578125,41243.83203125,74,Greed,-0.05792335792051162,0,-1,1,0.0,-1.0,1.0,-0.05792335792051162,-0.0,0.05792335792051162,-0.05792335792051162,0.0,0.0,0.0,-0.0,0.05792335792051162,-0.05792335792051162,0.9824615552105468,1.0,1.011215195579806,0.9824615552105468
2023-12-12,41238.734375,42048.3046875,40667.5625,41450.22265625,67,Greed,0.005004157345118276,0,-1,1,0.0,-1.0,1.0,0.005004157345118276,0.0,-0.005004157345118276,0.005004157345118276,0.0,0.0,0.0,0.0,-0.005004157345118276,0.005004157345118276,0.9873779474183499,1.0,1.0061549156313503,0.9873779474183499
2023-12-13,41468.46484375,43429.78125,40676.8671875,42890.7421875,65,Greed,0.03475299863154757,0,-1,1,0.0,-1.0,1.0,0.03475299863154757,0.0,-0.03475299863154757,0.03475299863154757,0.0,0.0,0.0,0.0,-0.03475299863154757,0.03475299863154757,1.0216922918738,1.0,0.9711880152252891,1.0216922918738
2023-12-14,42884.26171875,43390.859375,41767.08984375,43023.97265625,72,Greed,0.0031062756659134827,0,-1,1,0.0,-1.0,1.0,0.0031062756659134827,0.0,-0.0031062756659134827,0.0031062756659134827,0.0,0.0,0.0,0.0,-0.0031062756659134827,0.0031062756659134827,1.024865949778099,1.0,0.968171237526568,1.024865949778099
2023-12-15,43028.25,43087.82421875,41692.96875,41929.7578125,70,Greed,-0.025432678020983368,0,-1,1,0.0,-1.0,1.0,-0.025432678020983368,-0.0,0.025432678020983368,-0.025432678020983368,0.0,0.0,0.0,-0.0,0.025432678020983368,-0.025432678020983368,0.9988008640627233,1.0,0.9927944248797581,0.9988008640627233
2023-12-16,41937.7421875,42664.9453125,41723.11328125,42240.1171875,67,Greed,0.007401888090740938,0,-1,1,0.0,-1.0,1.0,0.007401888090740938,0.0,-0.007401888090740938,0.007401888090740938,0.0,0.0,0.0,0.0,-0.007401888090740938,0.007401888090740938,1.0061938762834508,1.0,0.9854458716496867,1.0061938762834508
